Country Name,2023
Afghanistan,415.707417059086
Africa Eastern and Southern,1659.51529015376
Africa Western and Central,1568.72431045118
Albania,8575.17113446213
Algeria,5364.02795022731
American Samoa,
Andorra,46812.4484486309
Angola,2308.15976731274
Anguilla,"35,374"
Antigua and Barbuda,21787.1017315914
Arab World,7292.21040780618
Argentina,14187.4827252965
Armenia,8053
Aruba,33984.7906198041
Australia,64820.9117890026
Austria,56033.573792065
Azerbaijan,7125.90858368611
Bahamas,35896.50510715
Bahrain,29218.8605634137
Bangladesh,2551.01772674142
Barbados,23804.0249914995
Belarus,7829.05313660622
Belgium,54700.9093236712
Belize,7459.99815132837
Benin,1394.37330217623
Bermuda,125841.602522489
Bhutan,3711
Bolivia (Plurinational State of),3686.27996490544
Bosnia and Herzegovina,8638.66620201187
Botswana,7820
Brazil,10294.866680778
British Virgin Islands,47000
Brunei Darussalam,32963
Bulgaria,15885.5391311331
Burkina Faso,882.689810086163
Burundi,193.007145564804
Cabo Verde,4850.98415849643
Cambodia,2429.74853452838
Cameroon,1737
Canada,53431.1857063879
Caribbean small states,16906.5672140942
Cayman Islands,97749.5078960846
Central African Republic,495.978897153068
Central Europe and the Baltics,22637.7950110942
Chad,680.639877912029
Channel Islands,74589.1380225191
Chile,17067.8136150601
China,12614.0617416421
Colombia,6947.35928681966
Comoros,1590.31237688317
Congo,2477.97845544866
Cook Islands,"18,806"
Costa Rica,16942.0268119375
Côte d'Ivoire,2530.84659301723
Croatia,21865.4562838641
Cuba,7449
Curacao,22192.4453028535
Cyprus,36551.41796875
Czechia,31591.1770732969
Democratic People's Republic of Korea,1217
Democratic Republic of the Congo,627.502181690836
Denmark,68453.8769281145
Djibouti,3554.83918868372
Dominica,9832.99643050057
Dominican Republic,10717.6276712204
Early-demographic dividend,4256.78414448262
East Asia & Pacific,12908.6377076783
East Asia & Pacific (excluding high income),9900.61356517593
East Asia & Pacific (IDA & IBRD countries),10011.9941315998
Ecuador,6609.80408154957
Egypt,3457.45691570455
El Salvador,5391.06926181338
Equatorial Guinea,6677.793435386
Eritrea,3097
Estonia,30133.304450454
Eswatini,3610.60879677551
Ethiopia,1272.01628209211
Euro area,45130.1240539874
Europe & Central Asia,29789.15402951
Europe & Central Asia (excluding high income),8548.0103775697
Europe & Central Asia (IDA & IBRD countries),11977.3398758875
European Union,41422.7999680879
Faroe Islands,71717.7042204698
Fiji,5888.73668639357
Finland,52925.6897638424
Fragile and conflict affected situations,1830.33271759401
France,44690.9345395117
French Polynesia,
Gabon,7802.83659565049
Gambia,888.157407724123
Georgia,8283.66960242964
Germany,54343.2265084958
Ghana,2260.28741289427
Gibraltar,
Greece,23400.7278817691
Greenland,
Grenada,11246.3451228921
Guam,
Guatemala,5762.82174615918
Guinea,1541.04050914957
Guinea-Bissau,951.242748289294
Guyana,20765.3503593109
Haiti,1705.77905452248
Heavily indebted poor countries (HIPC),1231.81257022963
High income,48752.7127374395
Holy See,21198
Honduras,3231.65724461936
Hong Kong SAR,50531.7385421945
Hungary,22141.8669799276
IBRD only,7832.14975609303
Iceland,79636.9548578508
IDA & IBRD total,6075.12299337436
IDA blend,1687.28133682938
IDA only,1424.84597936668
IDA total,1510.984396965
India,2480.79208721621
Indonesia,4876.31432703188
Iran (Islamic Republic of),4465.63766994952
Iraq,5565.12644647176
Ireland,103887.800388081
Isle of Man,
Israel,52642.4267486308
Italy,39003.3160954123
Jamaica,6839.72503886968
Japan,33766.5268253808
Jordan,4455.50540514568
Kazakhstan,12918.8661346014
Kenya,1952.30457929636
Kiribati,2106.76000405677
Kosovo,5960.15820477447
Kuwait,33729.7985494456
Kyrgyzstan,1970.15780961839
Lao People's Democratic Republic,2066.94979776957
Late-demographic dividend,12184.2070837954
Latin America & Caribbean,10796.8623721014
Latin America & Caribbean (excluding high income),10180.7055245454
Latin America & the Caribbean (IDA & IBRD countries),10553.7109939929
Latvia,22502.8429938094
Least developed countries: UN classification,1306.23478492715
Lebanon,3654
Lesotho,916.282979328622
Liberia,771.887142089677
Libya,6172.81246940233
Liechtenstein,186400
Lithuania,27786.0057829276
Low & middle income,5658.54749596439
Low income,900.963258115436
Lower middle income,2415.59854513004
Luxembourg,128678
Macao ,67476.5290813306
Madagascar,506.159368687808
Malawi,602.343619809252
Malaysia,11379.0861000632
Maldives,12530.3602359683
Mali,869.270234286992
Malta,40395.7692064458
Marshall Islands,6678.34239060448
Mauritania,2120.82320358953
Mauritius,11613.0441587588
Mexico,13790.0243428344
Micronesia (Federated States of),4084.16940424398
Middle East & North Africa,8499.84306394222
Middle East & North Africa (excluding high income),3797.10418034163
Middle East & North Africa (IDA & IBRD countries),3802.1797249029
Middle income,6254.08764955685
Monaco,256580.515122745
Mongolia,5838.63108083902
Montenegro,12221.4775546967
Montserrat,"10,749. "
Morocco,3771.4462890625
Mozambique,623
Myanmar,1233.19666209269
Namibia,4168
Nauru,12982.7612060515
Nepal,1377.62603571292
Netherlands (Kingdom of the),64572.0059558854
New Caledonia,
New Zealand,48280.8114166238
Nicaragua,2612.87066241288
Niger,642.937917863471
Nigeria,1596.63696129001
Niue,"19,464"
North America,79640.4296229555
North Macedonia,8624.29360948531
Northern Mariana Islands,
Norway,87925.0944188399
Not classified,
OECD members,46724.0157104114
Oman,21549.8368728192
Other small states,16728.2675733784
Pacific island small states,4146.4362061875
Pakistan,1365.27743222493
Palau,15899.4224911152
Panama,18686.4050961265
Papua New Guinea,2957.68262498549
Paraguay,6276.35113919957
Peru,7906.58502858
Philippines,3805
Poland,22056.6661704127
Portugal,27331.2094945255
Post-demographic dividend,54041.539692952
Pre-demographic dividend,1453.26226755311
Puerto Rico,36779.0594913858
Qatar,80196
Republic of Korea,33121.3712885508
Republic of Moldova,6729.41286813969
Romania,18404.2730871704
Russian Federation,13817
