Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Ethiopia,5.1,6.3,1.0,3.7,0.7,7.1,23.0,11.0,"4,993",3.9,,,7182.02525812415
Fiji,19.0,20.6,3.4,6.0,0.7,9.4,14.5,3.6,384,7.6,,,11246.3451228921
Finland,23.0,25.2,8.4,5.7,,15.1,10.2,0.0,,,"1,615",,30133.304450454
France,17.4,23.3,9.3,5.2,,15.8,8.9,0.0,,,"17,559",,32610.110922729
Gabon,14.5,11.6,1.6,2.2,,9.6,13.6,0.0,146,0.7,,,15899.4224911152
Gambia,,8.8,1.6,2.7,,7.5,17.5,0.0,285,12.7,,,1233.19666209269
Georgia,26.5,12.7,3.1,3.8,9.3,10.5,12.2,73.1,400,1.6,,,1502.51963828284
Germany,12.5,21.6,10.2,4.5,,19.9,9.2,0.0,,,"36,445",,1737
Ghana,15.6,5.9,2.2,2.9,,8.2,12.0,0.0,"1,077",1.4,,,23804.0249914995
Greece,36.3,19.7,5.4,4.1,,9.4,7.1,0.0,,,360,,22141.8669799276
Grenada,,,2.2,3.9,2.0,7.0,14.4,,-97,-8.2,,,39003.3160954123
Guatemala,13.0,11.6,2.3,3.2,1.3,17.4,19.6,10.9,437,0.5,,,771.887142089677
Guinea,,12.3,0.7,2.0,0.9,4.5,10.0,7.3,526,2.7,,,27786.0057829276
Guinea-Bissau,12.0,19.0,1.1,,0.0,4.6,,0.1,156,8.5,,,8575.17113446213
Guyana,,,3.3,4.5,,12.9,16.1,,205,1.5,,,642.937917863471
Haiti,,6.2,0.4,1.0,,3.9,11.2,0.0,895,4.4,,,2066.94979776957
Holy See,,,,,,,,,,,,,21198
Honduras,21.7,14.4,3.4,4.4,0.3,12.1,23.2,2.2,817,2.7,,,1705.77905452248
Hungary,28.3,20.0,5.3,5.0,1.8,11.0,10.4,9.1,,,371,,6172.81246940233
Iceland,31.1,25.7,8.1,7.1,,16.4,14.9,0.0,,,94,,87925.0944188399
India,13.2,10.5,1.1,4.6,1.4,3.7,14.6,13.6,"3,427",0.1,,,2957.68262498549
Indonesia,13.4,7.4,2.2,2.4,0.6,12.1,13.9,7.4,607,0.1,,,757.85833603088
Iran (Islamic Republic of),,13.2,3.2,2.7,,26.1,21.9,0.0,312,0.1,,,12221.4775546967
Iraq,38.6,17.7,2.6,,1.3,7.0,,7.3,"1,711",0.5,,,64572.0059558854
Ireland,19.4,12.3,5.2,2.9,,21.0,12.0,0.0,,,"2,410",,103887.800388081
Israel,28.1,22.4,5.4,6.5,,13.2,18.4,0.0,,,,,128678
Italy,27.0,18.1,7.1,4.0,,12.4,7.4,0.0,,,"6,706",,4455.50540514568
Jamaica,29.3,13.6,5.1,5.7,1.5,16.2,16.9,11.1,95,0.6,,,14187.4827252965
Japan,15.3,21.6,9.2,3.5,,21.5,7.4,0.0,,,"16,747",,48280.8114166238
Jordan,23.5,15.8,2.6,3.2,1.0,7.9,9.6,6.3,"2,058",4.1,,,13790.0243428344
Kazakhstan,12.3,11.3,2.6,4.2,1.6,11.6,24.1,14.4,70,0.0,,,1541.04050914957
Kenya,18.0,12.3,2.2,4.6,0.4,9.3,17.9,3.0,"2,733",2.4,,,52925.6897638424
Kiribati,66.0,,11.1,16.6,1.3,10.0,15.4,,95,22.1,,,3457.45691570455
Kuwait,38.6,24.8,5.2,,,9.9,,0.0,,,,,7125.90858368611
Kyrgyzstan,24.6,16.8,2.9,8.0,2.6,8.6,21.0,15.4,756,6.3,,,16942.0268119375
Lao People's Democratic Republic,13.9,14.0,0.7,1.4,0.1,4.4,9.1,0.6,576,3.8,,,6609.80408154957
Latvia,27.4,19.7,6.3,5.6,1.0,14.2,12.7,5.2,,,,,4876.31432703188
Lebanon,6.9,3.6,2.9,1.7,,16.7,9.9,0.0,"1,470",7.0,,,21198
Lesotho,37.0,34.2,4.2,6.7,5.6,8.0,11.3,16.3,153,5.7,,,"19,464"
Liberia,,,1.1,2.4,,3.7,12.4,,495,12.9,,,3515.23633611798
Libya,,31.8,,,2.7,,,8.5,274,0.5,,,6678.34239060448
Liechtenstein,,,,,,,,,,,,,18404.2730871704
Lithuania,23.2,17.7,5.3,4.8,0.4,14.0,12.7,2.4,,,243,,5838.63108083902
Luxembourg,29.7,19.0,4.7,4.7,,11.0,10.7,0.0,,,530,,128678
Madagascar,10.2,18.7,0.7,3.1,0.2,5.3,14.1,0.8,"1,043",6.7,,,6022.5425418935
Malawi,13.4,,1.4,3.3,,5.8,15.8,,"1,368",10.5,,,6677.793435386
Malaysia,16.4,12.0,2.5,3.5,0.6,10.1,20.1,4.7,-6,0.0,,,99564.710026145
Maldives,24.8,,7.2,4.6,1.7,18.2,10.9,,126,2.1,,,2530.84659301723
Mali,15.0,17.1,1.3,4.0,0.6,5.0,19.1,3.6,"1,233",6.7,,,916.282979328622
Malta,33.3,17.7,7.1,5.4,,16.2,12.7,0.0,,,,,5494.07409425517
Marshall Islands,31.4,57.4,5.3,7.0,,7.9,11.3,0.0,139,47.3,,,4168
Mauritania,,18.1,1.6,2.3,2.3,8.3,10.4,12.8,343,3.4,,,53431.1857063879
Mauritius,23.4,14.2,3.1,3.6,3.3,10.2,12.2,22.9,82,0.6,,,12982.7612060515
Mexico,16.9,11.0,3.0,4.6,1.6,11.0,16.2,14.7,515,0.0,,,12918.8661346014
Micronesia (Federated States of),29.8,,1.9,10.5,,2.6,18.6,,147,31.5,,,12614.0617416421
Monaco,,,3.3,1.4,,13.6,4.8,,,,,,13105.6585678319
Mongolia,23.1,13.3,4.5,4.3,2.2,12.6,10.0,16.4,297,1.9,,,627.502181690836
Montenegro,,18.1,6.5,,1.8,14.4,,9.7,106,1.6,,,2477.97845544866
Montserrat,,,,,,,,,,,,,506.159368687808
Morocco,26.9,18.7,2.2,5.8,2.0,7.2,23.9,10.6,"1,507",1.1,,,1272.01628209211
Mozambique,25.2,16.7,2.6,7.0,1.9,8.2,18.8,11.5,"2,624",15.1,,,623
Myanmar,14.3,,1.1,2.1,0.0,4.4,9.8,,"1,079",1.6,,,18686.4050961265
Namibia,31.3,21.8,4.5,9.0,2.8,11.2,25.0,12.9,332,2.7,,,4168
Nauru,138.8,,11.3,6.2,,9.1,9.6,,37,14.1,,,30348.8114409139
Nepal,19.9,6.6,1.8,3.6,1.6,6.5,12.8,24.1,"1,264",2.9,,,24491.3771867262
Netherlands (Kingdom of the),26.7,25.3,7.9,5.1,,16.9,11.0,0.0,,,"6,450",,49040.6947525825
New Zealand,,21.1,7.7,5.5,,18.6,13.1,0.0,,,515,,11379.0861000632
Nicaragua,21.5,12.2,6.1,4.1,,20.1,22.7,0.0,"1,168",7.8,,,7802.83659565049
Niger,,17.3,2.1,4.1,0.4,8.7,12.8,2.4,"2,107",14.5,,,1706.44218024762
Nigeria,,,0.5,,,4.1,,,"4,545",1.0,,,6344.7750188689
Niue,,,,,,,,,,,,,10294.866680778
North Macedonia,19.0,16.8,4.6,,1.8,13.0,,10.5,234,1.7,,,10520.4441534791
Norway,56.3,21.9,7.0,4.0,,17.8,10.1,0.0,,,"5,161",,35896.50510715
Oman,,22.1,3.8,4.2,,10.5,14.1,0.0,,,,,13817
Pakistan,,10.2,0.8,1.7,0.4,4.6,7.8,4.0,"1,872",0.5,,,6947.35928681966
Palau,24.0,38.3,7.4,,,11.1,,0.0,60,22.7,,,2120.82320358953
Panama,11.2,12.8,5.4,3.9,0.8,21.7,11.9,6.5,146,0.2,,,4465.63766994952
Papua New Guinea,15.3,,1.2,1.9,0.0,5.3,9.2,,682,2.2,,,256580.515122745
Paraguay,14.1,12.0,4.5,3.4,1.3,18.0,24.1,10.6,101,0.2,,,6729.41286813969
Peru,18.2,13.7,4.0,3.9,1.2,16.9,17.9,9.0,851,0.4,,,1377.62603571292
Philippines,16.1,14.2,2.1,3.6,0.5,8.0,15.7,3.9,"1,841",0.4,,,3805
Poland,22.1,18.6,4.6,4.9,1.0,10.5,11.2,5.6,,,"3,481",,40395.7692064458
Portugal,28.0,17.0,7.0,4.6,,14.7,9.7,0.0,,,440,,495.978897153068
Qatar,,12.9,2.5,3.2,,8.4,9.3,0.0,,,,,80196
Republic of Korea,32.0,18.9,6.0,5.4,,14.4,14.3,0.0,,,"2,906",,27331.2094945255
Republic of Moldova,20.0,18.1,5.1,6.1,1.1,14.6,15.8,6.2,933,6.1,,,888.157407724123
Romania,22.5,16.9,4.9,3.3,1.2,12.3,8.1,7.2,,,,,22797.8111731861
Russian Federation,22.1,18.5,5.3,3.7,1.2,15.1,8.9,6.3,,,,,13817
Rwanda,18.5,16.6,3.0,4.1,0.7,9.5,12.2,4.2,"1,121",8.3,,,2156.0340040333
Saint Kitts and Nevis,28.5,,3.5,3.6,,7.9,6.2,,,,,,17067.8136150601
Saint Lucia,19.4,,2.6,4.2,,8.7,16.3,,36,1.6,,,1010.2689290184
Saint Vincent and the Grenadines,25.6,,3.6,5.5,,9.6,12.9,,16,1.6,,,985.697512629974
Samoa,32.3,18.2,5.1,4.5,0.1,14.7,16.2,0.4,131,15.6,,,68453.8769281145
San Marino,25.1,18.5,7.0,3.1,,17.9,7.9,0.0,,,,,12530.3602359683
Sao Tome and Principe,,,3.4,5.2,0.0,13.1,18.3,,57,9.6,,,2940.93352926715
Saudi Arabia,30.5,23.3,4.6,,,14.4,,0.0,,,,,1596.63696129001
Senegal,21.3,14.7,1.1,5.6,0.9,4.4,22.5,5.9,"1,522",5.4,,,2260.28741289427
Serbia,28.0,15.9,6.3,3.3,1.2,13.4,7.1,7.5,558,0.8,,,12281
Seychelles,29.4,21.3,4.0,4.7,2.6,10.2,6.7,12.1,0,1.0,,,20016.1503008736
