Country,Govt Rev_GDP,Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,ODA inflow_GNI,GDP per Capita,GDP per Capita Class
Ghana,15.6,5.9,2.2,2.9,0.6,1.4,2260.28741289427,Lower Middle Income
Greece,36.3,19.7,5.4,4.1,1.2,0.0,23400.7278817691,High Income
Grenada,23.1,16.1,2.2,3.9,2.0,-8.2,11246.3451228921,Upper Middle Income
Guatemala,13.0,11.6,2.3,3.2,1.3,0.5,5762.82174615918,Upper Middle Income
Guinea,19.9,12.3,0.7,2.0,0.9,2.7,1541.04050914957,Lower Middle Income
Guinea-Bissau,12.0,19.0,1.1,3.55,0.0,8.5,951.242748289294,Low Income
Guyana,26.0,19.799999999999997,3.3,4.5,1.2,1.5,20765.3503593109,High Income
Haiti,19.9,6.2,0.4,1.0,0.6,4.4,1705.77905452248,Lower Middle Income
HolySee,26.0,19.799999999999997,6.05,4.6,1.2,0.0,21198.0,High Income
Honduras,21.7,14.4,3.4,4.4,0.3,2.7,3231.65724461936,Lower Middle Income
Hungary,28.3,20.0,5.3,5.0,1.8,0.0,22141.8669799276,High Income
Iceland,31.1,25.7,8.1,7.1,1.2,0.0,79636.9548578508,High Income
India,13.2,10.5,1.1,4.6,1.4,0.1,2480.79208721621,Lower Middle Income
Indonesia,13.4,7.4,2.2,2.4,0.6,0.1,4876.31432703188,Upper Middle Income
Iran(IslamicRepublicof),23.1,13.2,3.2,2.7,1.6,0.1,4465.63766994952,Upper Middle Income
Iraq,38.6,17.7,2.6,4.05,1.3,0.5,5565.12644647176,Upper Middle Income
Ireland,19.4,12.3,5.2,2.9,1.2,0.0,103887.800388081,High Income
Israel,28.1,22.4,5.4,6.5,1.2,0.0,52642.4267486308,High Income
Italy,27.0,18.1,7.1,4.0,1.2,0.0,39003.3160954123,High Income
Jamaica,29.3,13.6,5.1,5.7,1.5,0.6,6839.72503886968,Upper Middle Income
Japan,15.3,21.6,9.2,3.5,1.2,0.0,33766.5268253808,High Income
Jordan,23.5,15.8,2.6,3.2,1.0,4.1,4455.50540514568,Lower Middle Income
Kazakhstan,12.3,11.3,2.6,4.2,1.6,0.0,12918.8661346014,Upper Middle Income
Kenya,18.0,12.3,2.2,4.6,0.4,2.4,1952.30457929636,Lower Middle Income
Kiribati,66.0,13.55,11.1,16.6,1.3,22.1,2106.76000405677,Lower Middle Income
Kuwait,38.6,24.8,5.2,4.6,1.2,0.0,33729.7985494456,High Income
Kyrgyzstan,24.6,16.8,2.9,8.0,2.6,6.3,1970.15780961839,Lower Middle Income
LaoPeople'sDemocraticRepublic,13.9,14.0,0.7,1.4,0.1,3.8,2066.94979776957,Lower Middle Income
Latvia,27.4,19.7,6.3,5.6,1.0,0.0,22502.8429938094,High Income
Lebanon,6.9,3.6,2.9,1.7,0.6,7.0,3654.0,Lower Middle Income
Lesotho,37.0,34.2,4.2,6.7,5.6,5.7,916.282979328622,Low Income
Liberia,14.2,14.600000000000001,1.1,2.4,0.7,12.9,771.887142089677,Low Income
Libya,23.1,31.8,3.6,4.05,2.7,0.5,6172.81246940233,Upper Middle Income
Liechtenstein,26.0,19.799999999999997,6.05,4.6,1.2,0.0,186400.0,High Income
Lithuania,23.2,17.7,5.3,4.8,0.4,0.0,27786.0057829276,High Income
Luxembourg,29.7,19.0,4.7,4.7,1.2,0.0,128678.0,High Income
Madagascar,10.2,18.7,0.7,3.1,0.2,6.7,506.159368687808,Low Income
Malawi,13.4,14.600000000000001,1.4,3.3,0.7,10.5,602.343619809252,Low Income
Malaysia,16.4,12.0,2.5,3.5,0.6,0.0,11379.0861000632,Upper Middle Income
Maldives,24.8,16.1,7.2,4.6,1.7,2.1,12530.3602359683,Upper Middle Income
Mali,15.0,17.1,1.3,4.0,0.6,6.7,869.270234286992,Low Income
Malta,33.3,17.7,7.1,5.4,1.2,0.0,40395.7692064458,High Income
MarshallIslands,31.4,57.4,5.3,7.0,1.6,47.3,6678.34239060448,Upper Middle Income
Mauritania,19.9,18.1,1.6,2.3,2.3,3.4,2120.82320358953,Lower Middle Income
Mauritius,23.4,14.2,3.1,3.6,3.3,0.6,11613.0441587588,Upper Middle Income
Mexico,16.9,11.0,3.0,4.6,1.6,0.0,13790.0243428344,Upper Middle Income
Micronesia(FederatedStatesof),29.8,13.55,1.9,10.5,0.6,31.5,4084.16940424398,Lower Middle Income
Monaco,26.0,19.799999999999997,3.3,1.4,1.2,0.0,256580.515122745,High Income
Mongolia,23.1,13.3,4.5,4.3,2.2,1.9,5838.63108083902,Upper Middle Income
Montenegro,23.1,18.1,6.5,4.05,1.8,1.6,12221.4775546967,Upper Middle Income
Montserrat,23.1,16.1,3.6,4.05,1.6,0.0,10749.0,Upper Middle Income
Morocco,26.9,18.7,2.2,5.8,2.0,1.1,3771.4462890625,Lower Middle Income
Mozambique,25.2,16.7,2.6,7.0,1.9,15.1,623.0,Low Income
Myanmar,14.3,13.55,1.1,2.1,0.0,1.6,1233.19666209269,Lower Middle Income
Namibia,31.3,21.8,4.5,9.0,2.8,2.7,4168.0,Lower Middle Income
Nauru,138.8,16.1,11.3,6.2,1.6,14.1,12982.7612060515,Upper Middle Income
Nepal,19.9,6.6,1.8,3.6,1.6,2.9,1377.62603571292,Lower Middle Income
Netherlands(Kingdomofthe),26.7,25.3,7.9,5.1,1.2,0.0,64572.0059558854,High Income
NewZealand,26.0,21.1,7.7,5.5,1.2,0.0,48280.8114166238,High Income
Nicaragua,21.5,12.2,6.1,4.1,0.6,7.8,2612.87066241288,Lower Middle Income
Niger,14.2,17.3,2.1,4.1,0.4,14.5,642.937917863471,Low Income
Nigeria,19.9,13.55,0.5,3.6,0.6,1.0,1596.63696129001,Lower Middle Income
Niue,26.0,19.799999999999997,6.05,4.6,1.2,0.0,19464.0,High Income
NorthMacedonia,19.0,16.8,4.6,4.05,1.8,1.7,8624.29360948531,Upper Middle Income
Norway,56.3,21.9,7.0,4.0,1.2,0.0,87925.0944188399,High Income
Oman,26.0,22.1,3.8,4.2,1.2,0.0,21549.8368728192,High Income
Pakistan,19.9,10.2,0.8,1.7,0.4,0.5,1365.27743222493,Lower Middle Income
Palau,24.0,38.3,7.4,4.6,1.2,22.7,15899.4224911152,High Income
Panama,11.2,12.8,5.4,3.9,0.8,0.2,18686.4050961265,High Income
PapuaNewGuinea,15.3,13.55,1.2,1.9,0.0,2.2,2957.68262498549,Lower Middle Income
Paraguay,14.1,12.0,4.5,3.4,1.3,0.2,6276.35113919957,Upper Middle Income
Peru,18.2,13.7,4.0,3.9,1.2,0.4,7906.58502858,Upper Middle Income
Philippines,16.1,14.2,2.1,3.6,0.5,0.4,3805.0,Lower Middle Income
Poland,22.1,18.6,4.6,4.9,1.0,0.0,22056.6661704127,High Income
Portugal,28.0,17.0,7.0,4.6,1.2,0.0,27331.2094945255,High Income
Qatar,26.0,12.9,2.5,3.2,1.2,0.0,80196.0,High Income
RepublicofKorea,32.0,18.9,6.0,5.4,1.2,0.0,33121.3712885508,High Income
RepublicofMoldova,20.0,18.1,5.1,6.1,1.1,6.1,6729.41286813969,Upper Middle Income
Romania,22.5,16.9,4.9,3.3,1.2,0.0,18404.2730871704,High Income
RussianFederation,22.1,18.5,5.3,3.7,1.2,0.0,13817.0,Upper Middle Income
Rwanda,18.5,16.6,3.0,4.1,0.7,8.3,1010.2689290184,Low Income
SaintKittsandNevis,28.5,19.799999999999997,3.5,3.6,1.2,0.0,22573.6724791004,High Income
SaintLucia,19.4,16.1,2.6,4.2,1.6,1.6,13554.6651875402,Upper Middle Income
SaintVincentandtheGrenadines,25.6,16.1,3.6,5.5,1.6,1.6,10520.4441534791,Upper Middle Income
Samoa,32.3,18.2,5.1,4.5,0.1,15.6,4330.17840531329,Lower Middle Income
SanMarino,25.1,18.5,7.0,3.1,1.2,0.0,53000.0,High Income
SaoTomeandPrincipe,19.9,13.55,3.4,5.2,0.0,9.6,2940.93352926715,Lower Middle Income
SaudiArabia,30.5,23.3,4.6,4.6,1.2,0.0,32093.9622984711,High Income
Senegal,21.3,14.7,1.1,5.6,0.9,5.4,1706.44218024762,Lower Middle Income
Serbia,28.0,15.9,6.3,3.3,1.2,0.8,12281.0,Upper Middle Income
Seychelles,29.4,21.3,4.0,4.7,2.6,1.0,17879.2396545075,High Income
SierraLeone,14.2,8.8,1.9,8.8,1.0,11.0,757.85833603088,Low Income
Singapore,16.2,10.2,3.5,2.4,1.2,0.0,84734.2559206054,High Income
Slovakia,25.6,20.1,6.2,4.3,1.5,0.0,24491.3771867262,High Income
Slovenia,26.0,19.5,6.9,5.7,1.2,0.0,32610.110922729,High Income
SolomonIslands,23.1,29.2,3.3,3.6,0.6,16.0,2041.6364912646,Lower Middle Income
Somalia,0.0,7.0,1.3,0.3,0.2,18.7,597.458854603159,Low Income
SouthAfrica,28.8,19.7,5.0,6.6,4.6,0.3,6022.5425418935,Upper Middle Income
SouthSudan,14.2,14.600000000000001,0.9,1.5,0.7,15.9,478.0,Low Income
Spain,17.7,19.9,7.7,4.6,1.2,0.0,33509.0127982139,High Income
SriLanka,8.2,6.9,1.9,1.2,0.4,0.0,3827.96495637489,Lower Middle Income
StateofPalestine,23.4,20.2,1.9,5.4,0.6,9.4,3372.35,Lower Middle Income
Sudan,8.8,16.2,0.8,3.6,0.9,3.1,2183.44140625,Lower Middle Income
Suriname,23.1,16.1,3.3,3.8,1.6,1.7,5494.07409425517,Upper Middle Income
Sweden,29.4,25.7,9.7,6.7,1.2,0.0,55516.836477474,High Income
Switzerland,10.5,11.4,4.3,5.6,1.2,0.0,99564.710026145,High Income
SyrianArabRepublic,14.2,10.9,1.3,3.55,0.7,113.1,745.0,Low Income
Tajikistan,13.9,10.1,1.9,5.4,0.8,4.1,1160.81187026311,Lower Middle Income
Thailand,17.2,16.6,3.6,2.6,1.6,0.1,7182.02525812415,Upper Middle Income
Timor-Leste,51.5,33.1,7.3,3.0,5.3,6.9,1502.51963828284,Lower Middle Income
Togo,15.1,12.6,0.6,3.8,0.1,5.2,985.697512629974,Low Income
Tokelau,23.1,16.1,3.6,4.05,1.6,0.0,7445.0,Upper Middle Income
Tonga,25.1,30.7,3.6,5.6,1.6,54.7,5218.0,Upper Middle Income
