Country,"Government revenue as % of GDP
2015–2023 (R)",Over All Expenditure_GDP,Health Expenditure_GDP,Education Expenditure_GDP,social protection expenditure_GDP,Health_budget,education_budget,social protection_budget,ODA inflow,ODA inflow_GNI,ODA outflow,Ouflow as a % of donor GNI,GDP per Capita
Cameroon,13.7,11.3,0.5,2.6,0.0,2.9,13.1,0.3,1229.0,2.8,,,1737.0
Canada,14.4,21.2,8.0,4.1,,19.2,11.1,0.0,,,9274.0,,53431.1857063879
CentralAfricanRepublic,9.2,8.3,1.3,2.1,2.0,6.4,10.0,24.6,701.0,27.2,,,495.978897153068
Chad,,4.2,0.9,2.5,,4.9,16.5,0.0,726.0,5.7,,,680.639877912029
Chile,26.0,15.1,4.9,4.0,3.5,18.5,19.4,23.4,1.0,0.0,,,17067.8136150601
China,8.4,16.1,2.9,3.3,1.1,8.9,10.5,6.6,-381.0,-0.0,,,12614.0617416421
Colombia,20.1,14.6,6.5,3.9,3.4,19.0,11.6,23.5,1942.0,0.6,,,6947.35928681966
Comoros,,9.3,0.9,2.4,0.4,4.7,10.5,4.3,147.0,11.0,,,1590.31237688317
Congo,20.1,13.1,1.9,3.0,0.4,8.2,15.7,3.2,739.0,4.8,,,2477.97845544866
CookIslands,,,,,,,,,,,,,18806.0
CostaRica,18.0,14.9,5.3,6.3,,25.4,20.1,0.0,666.0,1.0,,,16942.0268119375
Côted'Ivoire,12.2,10.3,1.0,3.5,0.2,5.1,12.8,1.5,2091.0,2.9,,,2530.84659301723
Croatia,24.9,21.1,6.8,5.2,,14.0,10.7,0.0,,,,,21865.4562838641
Cuba,,32.5,12.6,9.4,,21.5,17.0,0.0,145.0,0.5,,,7449.0
Cyprus,30.0,19.1,8.0,5.5,,18.4,12.7,0.0,,,,,36551.41796875
Czechia,25.0,20.4,8.2,5.1,0.8,17.6,10.9,3.9,,,1051.0,,31591.1770732969
DemocraticPeople'sRepublicofKorea,,,,,,,,,13.0,,,,1217.0
DemocraticRepublicoftheCongo,14.2,7.9,0.6,3.0,0.7,4.3,18.4,8.6,3330.0,5.2,,,627.502181690836
Denmark,36.3,22.6,8.1,5.9,,17.8,11.9,0.0,,,2764.0,,68453.8769281145
Djibouti,,14.5,1.0,3.8,0.3,4.2,14.0,2.0,66.0,1.6,,,3554.83918868372
Dominica,,27.4,4.2,4.7,4.1,7.2,7.1,15.1,62.0,9.8,,,9832.99643050057
DominicanRepublic,15.6,11.3,3.3,3.9,1.3,17.7,22.0,11.6,409.0,0.3,,,10717.6276712204
Ecuador,24.5,13.9,5.3,3.6,1.0,14.8,9.3,7.5,397.0,0.3,,,6609.80408154957
Egypt,,6.8,1.7,3.9,2.9,6.8,12.0,43.1,6080.0,1.3,,,3457.45691570455
ElSalvador,24.8,18.0,6.4,4.5,1.4,20.0,12.0,7.5,730.0,2.4,,,5391.06926181338
EquatorialGuinea,26.8,26.0,0.7,,,5.4,,0.0,12.0,0.1,,,6677.793435386
Eritrea,,,0.9,,,2.4,,,57.0,,,,3097.0
Estonia,29.8,20.9,5.7,5.9,2.3,13.8,14.3,10.8,,,201.0,,30133.304450454
Eswatini,24.9,17.6,3.7,6.3,,12.3,16.6,0.0,94.0,1.9,,,3610.60879677551
Ethiopia,5.1,6.3,1.0,3.7,0.7,7.1,23.0,11.0,4993.0,3.9,,,1272.01628209211
Fiji,19.0,20.6,3.4,6.0,0.7,9.4,14.5,3.6,384.0,7.6,,,5888.73668639357
